5H 5C 6S 7S KD 2C 3S 8S 8D TD
5D 8C 9S JS AC 2C 5C 7D 8S QH
2D 9C AS AH AC 3D 6D 7D TD QD
4D 6S 9H QH QC 3D 6D 7H QD QS
2H 2D 4C 4D 4S 3C 3D 3S 9S 9D
AH KD QC JD TS 3C 3D 3S 9S 9D
AH AD AC AD AS 3C 3D 3S 9S 9D
2H 2D AC 2D 2S 3C 3D 3S 9S 9D
2H 2D AC 2D 2S 3D 3D 3D 9D 9D
2H 2D AC 2D 4S 3D 3D 3D 3D 3D
2H 2D AC 2D 4S 2D 2D 4D 3D 3D
AH KD QC JD TS 2D 2D 4D 3D 3D
2H 2D AC 2D 4S 2D 3D 3D 3D 3D
2S 6S 4S 5S 3S 9D 8D 7D 6D 5D
2S 2S 2S 3S 4S 3D 3D 4D 3D 5D
KS KS AS AS 4S 3D 3D 4D 4D 5D
KS KS TS AS 4S 3D 3D 6D 4D 5D
